customer_name,priority,total_orders
AGRTLA,1,243
SLCHR,2,300
SLCHR-02,3,245
SHILLONG,4,104
GW-3-ADBR,5,232
SLIGURI,6,58
BRPT,7,265
BRPT-2,8,185
NALBARI,9,76
GWHT,10,343
BONGAIGAON,11,120
ITNGR,12,234
TINSUKIA,13,135
TEZPUR,14,109
JRHT,15,168
DIPHU,16,45
GOALPARA,17,0
BHANGEL,18,78
FBD-2,19,149
BAREILLY (GURUDWARA),20,204
BRLY,21,130
BUDAUN-(V2),22,81
BHRCH-2,23,115
SITAPUR,24,108
BLRMPR,25,71
RAMPUR,26,118
LAKHIMPUR,27,120
GONDA,28,72
HARDOI-(V2),29,126
LUCKNOW(KURSI RAOD),30,115
KNPR,31,135
LKNW-TELIBAGH,32,84
ALAMBAGH,33,83
LKNW-SITAPUR ROAD,34,74
LKNW,35,50
JNK PRM,36,55
RBRLY,37,137
